Country,Region,City,NIL,CODICE,PREVALENTE,DISCIPLINA,DENOMINAZI,INDIRIZZO,CATEGORIA,TIPOLOGIA,SEDIME
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,444,Servizio sussidiario,Disciplinato PdS,AUS Niguarda,Piazza dell'Ospedale Maggiore 3,Servizi Sociali,Diurnato,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,445,Servizio unico,Disciplinato PdS,A2A ElettricitÃ  - Ss Elettrica Suzzani,VIA PADRE PIER LUIGI MONTI 5,Infrastrutture tecnologiche e,"Distribuzione acqua potabile, gas metano,",Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,446,Servizio principale,Disciplinato PdS,Mm - Stazione Suzzani,VIALE SUZZANI GIOVANNI 121,Infrastrutture tecnologiche e,"Distribuzione acqua potabile, gas metano,",Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,446,Servizio sussidiario,Disciplinato PdS,III e IV Reparto Rete,VIALE SUZZANI GIOVANNI 121,Infrastrutture tecnologiche e,"Distribuzione acqua potabile, gas metano,",Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,446,Servizio sussidiario,Disciplinato PdS,Comune di Milano - Civiche Depositerie,VIALE SUZZANI GIOVANNI 121,Amministrativo,Comunali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,488,Servizio unico,Disciplinato PdS,Suzzani 264,VIALE SUZZANI GIOVANNI 264,Istruzione,Servizi educativi per l'infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,491,Servizio unico,Disciplinato PdS,Scuola Paritaria - F.lli Grimm 11,VIA FRATELLI GRIMM 11,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,492,Servizio unico,Disciplinato PdS,Giovanni Battista Pirelli,VIA GOFFREDO DA BUSSERO 9,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,493,Servizio unico,Disciplinato PdS,Scuola Paritaria - T.mann,VIA MANN THOMAS 9,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,494,Servizio principale,Disciplinato PdS,Bambini Bicocca,VIA MANN THOMAS 8,Istruzione,Servizi educativi per l'infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,494,Servizio sussidiario,Disciplinato PdS,Cc Mann,VIA MANN THOMAS 8,Amministrativo,Comunali,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,494,Servizio sussidiario,Disciplinato PdS,Universita' degli Studi Bicocca - Scienze Umane,VIA MANN THOMAS 8,UniversitÃ  e ricerca,UniversitÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,494,Servizio sussidiario,Disciplinato PdS,Falcone - Borsellino,VIA MANN THOMAS 8,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,494,Servizio sussidiario,Disciplinato PdS,Sandro Pertini,VIA MANN THOMAS 8,Istruzione,Scuole del primo ciclo di istruzione,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,495,Servizio unico,Disciplinato PdS,Suzzani,VIALE SUZZANI GIOVANNI 240,Istruzione,Scuole dell' infanzia,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,496,Servizio sussidiario,Disciplinato PdS,Custode Sociale,VIA RAFFAELLO GIOLLI 29,Servizi Sociali,DomiciliaritÃ ,Areale
Italia,Lombardia,Milano,14 - Niguarda - CÃ  Granda - Prato,496,Servizio sussidiario,Disciplinato PdS,SSPT Servizio Sociale Professionale Territoriale,VIA RAFFAELLO GIOLLI 29,Servizi Sociali,TerritorialitÃ ,Areale
